id,email,name,password,role,tenantId,clientId,avatar,phone,status,lastLogin,language,timezone,createdAt,updatedAt
"1a04576b-a708-4ce3-8be2-44b4c124f85c","sophie.martin@cabinet-martin.fr","Maître Sophie Martin","$2b$10$B5FKe9oeito0YeXlzsR3I.3MgOX0Sr/imnhOQN8n7AnjZpBEuoFFi","ADMIN","49938dd8-e4dc-44f7-922e-1ca3f5d154f4",,,,"active",,"fr","Europe/Paris",Tue Jan 20 2026 19:04:07 GMT+0100 (heure normale d’Europe centrale),Tue Jan 20 2026 19:04:07 GMT+0100 (heure normale d’Europe centrale)
"29f91bd5-7099-4f04-89e4-a2bd55ec75f0","pierre.rousseau@cabinet-rousseau.fr","Maître Pierre Rousseau","$2b$10$LgrH6b.hmb7yFH1PyNcn/eDnFA9RiDfNkNL9K2IozaWy8LJrV/da.","ADMIN","b6daae99-79e3-4304-a106-c09474d75353",,,,"active",,"fr","Europe/Paris",Tue Jan 20 2026 19:04:07 GMT+0100 (heure normale d’Europe centrale),Tue Jan 20 2026 19:04:07 GMT+0100 (heure normale d’Europe centrale)
"44bed3f9-09d4-4bf1-974f-f76fff4518d9","superadmin@demo.com","Super Admin","$2b$12$dZ9EgAlgCVtnq89uwcfZeePwITEmTql2HlBmzGUX8V9oDLAJocC7W","SUPER_ADMIN",,,,"+33 6 99 99 99 99","active",,"fr","Europe/Paris",Wed Jan 21 2026 00:21:10 GMT+0100 (heure normale d’Europe centrale),Wed Jan 21 2026 00:21:10 GMT+0100 (heure normale d’Europe centrale)
"4995b6e3-16e3-44de-ae9e-0da5e4e80bdb","client1@demo.com","Client1 Test","$2b$12$dZ9EgAlgCVtnq89uwcfZeePwITEmTql2HlBmzGUX8V9oDLAJocC7W","CLIENT","8fcdaec3-4238-4869-b384-080af262cd33","9f4c01a5-6c4a-4fc5-b93b-142cd2fa0381",,"+33 6 11 00 00 00","active",,"fr","Europe/Paris",Wed Jan 21 2026 00:21:10 GMT+0100 (heure normale d’Europe centrale),Wed Jan 21 2026 00:21:10 GMT+0100 (heure normale d’Europe centrale)
"53538b97-a25d-4e20-97d1-e05518d8ed72","jean.dupont@cabinet-dupont.fr","Maître Jean Dupont","$2b$10$Aouf6FR6WXKIU0A9j9gK7OaiKqVxrMaltz09zu8sZyelZ5AjB59l2","ADMIN","4620e3a1-29c2-489e-a58c-76c1cddaaacc",,,,"active",,"fr","Europe/Paris",Tue Jan 20 2026 19:04:07 GMT+0100 (heure normale d’Europe centrale),Tue Jan 20 2026 19:04:07 GMT+0100 (heure normale d’Europe centrale)
"66045a68-8f8f-47b7-bade-910dc4506224","admin@demo.com","Admin Demo","$2b$12$dZ9EgAlgCVtnq89uwcfZeePwITEmTql2HlBmzGUX8V9oDLAJocC7W","ADMIN","8fcdaec3-4238-4869-b384-080af262cd33",,,"+33 6 12 34 56 78","active",,"fr","Europe/Paris",Wed Jan 21 2026 00:21:10 GMT+0100 (heure normale d’Europe centrale),Wed Jan 21 2026 00:21:10 GMT+0100 (heure normale d’Europe centrale)
"82bc3234-34fa-4b9a-84ab-8580925aae5b","mohamed.benali@example.com","Mohamed Benali","$2b$10$CSi5WeLRIjMNkjXvj7hu8efAu5s/vvK1quG7y2hpTKz5X1wVy2G02","CLIENT","4620e3a1-29c2-489e-a58c-76c1cddaaacc","e1163c4a-d947-48e3-a517-8da3a7840861",,,"active",,"fr","Europe/Paris",Tue Jan 20 2026 19:04:08 GMT+0100 (heure normale d’Europe centrale),Tue Jan 20 2026 19:04:08 GMT+0100 (heure normale d’Europe centrale)
"8b5ce399-df62-4402-854e-bfba579025b8","superadmin@iapostemanager.com","Super Admin","$2b$10$VbDA0iqPARPi2IQiiNhh3uRAuiebcUNOGpvpQnifj4TFElyMGCVku","SUPER_ADMIN",,,,,"active",,"fr","Europe/Paris",Tue Jan 20 2026 19:04:07 GMT+0100 (heure normale d’Europe centrale),Tue Jan 20 2026 19:04:07 GMT+0100 (heure normale d’Europe centrale)
"8e0fa378-29a6-4c9e-b466-940fd9914c9c","karim.ibrahim@example.com","Karim Ibrahim","$2b$10$iqwxgTT1JuWxb8fYJwenhOYwmjZ6rpHnlZETslpG9ZlEoqdJNXPcC","CLIENT","49938dd8-e4dc-44f7-922e-1ca3f5d154f4","b844094f-2b66-42a4-bce1-43029cfaa139",,,"active",,"fr","Europe/Paris",Tue Jan 20 2026 19:04:08 GMT+0100 (heure normale d’Europe centrale),Tue Jan 20 2026 19:04:08 GMT+0100 (heure normale d’Europe centrale)
"d94aa486-612e-45c5-bfaa-62ccdd85f447","client2@demo.com","Client2 Test","$2b$12$dZ9EgAlgCVtnq89uwcfZeePwITEmTql2HlBmzGUX8V9oDLAJocC7W","CLIENT","8fcdaec3-4238-4869-b384-080af262cd33","bcd83c77-a4d0-4484-baeb-14f5af5e3336",,"+33 6 12 00 00 00","active",,"fr","Europe/Paris",Wed Jan 21 2026 00:21:10 GMT+0100 (heure normale d’Europe centrale),Wed Jan 21 2026 00:21:10 GMT+0100 (heure normale d’Europe centrale)
"ecf70283-8eec-43f7-ac96-257034986791","client3@demo.com","Client3 Test","$2b$12$dZ9EgAlgCVtnq89uwcfZeePwITEmTql2HlBmzGUX8V9oDLAJocC7W","CLIENT","8fcdaec3-4238-4869-b384-080af262cd33","b3e06135-e5da-455e-9ec4-3e46768cd9c0",,"+33 6 13 00 00 00","active",,"fr","Europe/Paris",Wed Jan 21 2026 00:21:10 GMT+0100 (heure normale d’Europe centrale),Wed Jan 21 2026 00:21:10 GMT+0100 (heure normale d’Europe centrale)
